global_step=2320, episodic_ingame_score=0
global_step=2336, episodic_ingame_score=0
global_step=2352, episodic_ingame_score=0
global_step=2368, episodic_ingame_score=0
global_step=2384, episodic_ingame_score=0
global_step=2400, episodic_ingame_score=0
global_step=2416, episodic_ingame_score=0
global_step=2432, episodic_ingame_score=0
global_step=2448, episodic_ingame_score=0
global_step=2464, episodic_ingame_score=0
global_step=2480, episodic_ingame_score=0
global_step=2496, episodic_ingame_score=0
global_step=2512, episodic_ingame_score=0
global_step=2528, episodic_ingame_score=0
global_step=2544, episodic_ingame_score=0
global_step=2560, episodic_ingame_score=0
global_step=2576, episodic_ingame_score=0
global_step=2592, episodic_ingame_score=0
global_step=2608, episodic_ingame_score=0
global_step=2624, episodic_ingame_score=0
global_step=2640, episodic_ingame_score=0
global_step=2656, episodic_ingame_score=0
global_step=2672, episodic_ingame_score=0
global_step=2688, episodic_ingame_score=0
global_step=2704, episodic_ingame_score=0
global_step=2720, episodic_ingame_score=0
global_step=2736, episodic_ingame_score=0
global_step=2752, episodic_ingame_score=0
global_step=2768, episodic_ingame_score=0
global_step=2784, episodic_ingame_score=0
global_step=2800, episodic_ingame_score=0
global_step=2816, episodic_ingame_score=0
global_step=2832, episodic_ingame_score=0
global_step=2848, episodic_ingame_score=0
global_step=2864, episodic_ingame_score=0
global_step=2880, episodic_ingame_score=0
global_step=2896, episodic_ingame_score=0
global_step=2912, episodic_ingame_score=0
global_step=2928, episodic_ingame_score=0
global_step=2944, episodic_ingame_score=0
global_step=2960, episodic_ingame_score=0
global_step=2976, episodic_ingame_score=0
global_step=2992, episodic_ingame_score=0
global_step=3008, episodic_ingame_score=0
global_step=3024, episodic_ingame_score=0
global_step=3040, episodic_ingame_score=0
global_step=3056, episodic_ingame_score=0
global_step=3072, episodic_ingame_score=0
global_step=3088, episodic_ingame_score=0
global_step=3104, episodic_ingame_score=0
global_step=3120, episodic_ingame_score=0
global_step=3136, episodic_ingame_score=0
global_step=3152, episodic_ingame_score=0
global_step=3168, episodic_ingame_score=0
global_step=3184, episodic_ingame_score=0
global_step=3200, episodic_ingame_score=0
global_step=3216, episodic_ingame_score=0
global_step=3232, episodic_ingame_score=0
